Fluxes
Reaction,Net flux,Net flux lb,Net flux ub,Exchange flux,Exchange flux lb Exchange flux ub
1 G1P = 1 G6P ,-0.866917,-0.866917,-0.866917,52.2147,50.5085,66.2531
1 G1P -> 1 ADPGLC ,5.62051,4.97222,5.61719,0,0,0
1 ADPGLC -> 1 GLYC ,5.62051,4.97222,5.61719,0,0,0
1 GLYC -> 1 G1P ,4.75359,4.1053,4.75027,0,0,0
1 G6P = 1 F6P ,-3.71853,-4.79007,-2.37869,399.957,398.144,400.752
1 G6P -> 1 6PGC ,2.8343,1.49446,3.90584,0,0,0
1 6PGC -> 1 RU5P + 1 CO2 ,2.8343,1.49446,3.90584,0,0,0
1 F6P = 1 FBP ,28.6141,27.6051,32.0369,0.00645195,1.17998e-07,0.0102515
1 FBP = 1 DHAP + 1 GAP ,28.6141,27.6051,32.0369,31.7242,24.611,32.7227
1 DHAP = 1 GAP ,-12.8419,-13.5902,-11.6158,81.7749,80.4096,85.9378
1 GAP = 1 3PGA ,-30.2784,-31.6625,-27.7462,44.1789,38.6855,47.5527
1 3PGA = 1 2PGA ,2.49463,1.97974,2.71734,7.66563,4.20805,11.8134
1 2PGA = 1 PEP ,2.49463,1.97974,2.71734,59.2908,51.6445,62.7749
1 PEP = 1 PYR ,-0.955127,-8.36403,-0.963716,15.878,7.04869,18.7352
1 RU5P = 1 X5P ,-9.12341,-9.56884,-8.09363,285.419,284.039,287.582
1 RU5P = 1 R5P ,-4.49368,-4.71639,-3.97879,154.095,149.122,163.863
1 RU5P -> 1 RUBP ,16.4514,14.9616,17.1687,0,0,0
1 CO2 + 1 RUBP -> 2 3PGA ,16.3216,14.8319,17.039,0,0,0
1 X5P = 1 GAP + 1 EC2 ,-9.12341,-9.56884,-8.09363,2.453e-09,2.45826e-09,0.000162774
1 F6P = 1 EC2 + 1 E4P ,4.59452,4.07963,4.81723,1.59535,0.120884,1.58983
1 S7P = 1 R5P + 1 EC2 ,4.52889,4.014,4.75161,17.2378,14.145,17.3592
1 F6P = 1 GAP + 1 EC3 ,-36.9271,-39.9811,-35.4926,8.09095e-09,8.11526e-09,0.000774091
1 S7P = 1 E4P + 1 EC3 ,36.9271,35.4926,39.9811,20.9954,20.1792,24.9876
1 DHAP + 1 E4P -> 1 SBP ,41.456,40.0684,44.3333,0,0,0
1 SBP -> 1 S7P ,41.456,40.0684,44.3333,0,0,0
1 PYR -> 1 CO2 + 1 ACA ,1.5645,1.04961,1.78721,0,0,0
1 ACA + 1 OAA -> 1 CIT ,1.28934,0.77445,1.51205,0,0,0
1 CIT = 1 ICI ,1.28934,0.77445,1.51205,2.31884,1.52501,3.14083
1 ICI = 1 CO2 + 1 AKG ,1.28934,0.77445,1.51205,141.909,141.142,142.633
1 AKG -> 1 CO2 + 1 SUCSAL ,1.10377,0.588875,1.32648,0,0,0
1 SUCSAL -> 1 SUCC ,1.10377,0.588875,1.32648,0,0,0
1 SUCC = 1 FUM ,1.10377,0.588875,1.32648,6.37273e-09,6.37291e-09,0.0002814
1 FUM = 1 MAL ,1.15304,0.638154,1.37576,2.34936e-09,2.35214e-09,0.35143
1 MAL = 1 OAA ,-1.78065,-9.18955,-1.78924,22.1419,16.5575,22.5501
1 MAL -> 1 CO2 + 1 PYR ,2.9337,2.94275,9.96677,0,0,0
1 CO2 + 1 PEP -> 1 OAA ,3.32944,3.3385,10.3625,0,0,0
1 RUBP -> 1 3PGA + 1 2PG ,0.129749,0.129749,0.130624,0,0,0
1 2PG -> 1 GLC ,0.129749,0.129749,0.130624,0,0,0
1 GLC -> 1 GOX ,0.129749,0.129749,0.130624,0,0,0
2 GOX -> 1 CO2 + 1 GA ,1.10873e-09,1.10875e-09,0.000437554,0,0,0
1 GA = 1 2PGA ,1.10873e-09,1.10875e-09,0.000437554,1.60227,1.55165,1.8522
1 AKG = 1 GLU ,0.0921891,0.0921891,0.0921891,1.13926,0.355954,1.34373
1 GLU -> 1 GLN ,0.044532,0.044532,0.044532,0,0,0
1 ACA -> 1 LIPID ,0.187659,0.187659,0.187659,0,0,0
1 G6P + 0.5 R5P + 0.5 OAA + 0.745 AKG + 0.5 GOX -> 0.5 FUM + 1 DNA ,0.0158329,0.0158329,0.0158329,0,0,0
1 G6P + 0.498 R5P + 0.502 OAA + 0.757 AKG + 0.498 GOX -> 0.498 FUM + 1 RNA ,0.00147947,0.00147947,0.00147947,0,0,0
0.154 PEP + 0.53 PYR + 0.034 R5P + 0.084 E4P + 0.112 ACA + 0.321 OAA + 0.103 AKG + 0.155 GOX + 0.061 GLU + 0.057 GLN -> 0.327 CO2 + 0.052 FUM + 1 Protein ,0.781264,0.781264,0.781264,0,0,0
3.34 GLYC + 0.723 LIPID + 0.061 DNA + 0.0057 RNA + 3.01 Protein -> 1 Biomass ,0.259556,0.259556,0.259556,0,0,0
1 Biomass -> ,0.259556,0.259556,0.259556,0,0,0
-> 1 CO2 ,9.67,9.67,9.67,0,0,0

Metabolite Concentrations
Metabolite,Concentration,Concentration lb,Concentration ub
G1P,0.299168,0.145047,0.438829
G6P,0.613094,0.328671,0.953663
ADPGLC,0.164438,0.103376,0.228059
GLYC,503.351,503.351,511.434
F6P,0.245431,0.151552,0.352126
6PGC,0.143436,0.0668777,0.213634
RU5P,0.000643967,1e-06,0.00452957
CO2,1,1,1
FBP,0.195126,0.152048,0.24719
DHAP,0.580356,0.383337,0.714232
GAP,31.1317,28.3423,35.2143
3PGA,1.24748,0.181819,2.21376
2PGA,3.58711e-05,1.00001e-06,0.00108463
PEP,0.0938018,0.0801286,0.109089
PYR,0.0699855,0.0275662,0.114549
X5P,0.789201,0.410052,1.20489
R5P,1.15974,0.402061,1.80805
RUBP,0.439342,0.202731,0.653552
EC2,1.00553e-06,1.00554e-06,0.000631221
E4P,0.148139,0.0908732,0.197459
S7P,0.101141,0.0352078,0.152256
EC3,0.0302018,1.00354e-06,0.057184
SBP,9.80469,7.88391,9.80686
ACA,0.00613457,0.00437327,0.00778257
OAA,2.134e-05,1.06581e-06,0.00019158
CIT,6.66154,4.83291,8.57734
ICI,2.3931e-06,1e-06,1.32897e-05
AKG,1.72593,1.07247,2.59779
SUCSAL,132.527,130.917,132.784
SUCC,0.752342,0.292967,1.13598
FUM,1046.92,1046.92,1046.95
MAL,0.368301,0.296501,0.527118
2PG,267.733,267.733,267.733
GLC,265.8,265.8,265.801
GOX,156.041,156.041,156.042
GA,0.00022795,1.00003e-06,0.000229031
GLU,4.17544,2.67935,6.31407
GLN,0.00381378,0.00311576,0.00564557
LIPID,20.8537,20.8537,20.8593
DNA,21.6093,21.6093,21.6147
RNA,21.2178,21.2178,21.2233
Protein,21.3652,21.3652,21.3707
Biomass,22.2995,22.2995,22.3047

Isotopomer Fractions
Isotopomer,Fraction,Fraction lb,Fraction ub
CO2_1,0.869453,0.833158,0.88832

Dilution Factors
Metabolite,Dilution factor,Dilution factor lb,Dilution factor ub
3PGA,1,0.999964,1
ADPGLC,0.837824,0.806178,0.845602
AKG,0.123088,0.0970431,0.124251
CIT,0.115041,0.103091,0.11763
DHAP,0.726484,0.712351,0.747275
E4P,0.653623,0.64047,0.663265
F6P,0.799156,0.785613,0.802575
G1P,0.898051,0.870324,0.899508
G6P,0.826315,0.816007,0.828836
GLU,0.0802254,0.0630498,0.118536
MAL,0.16636,0.132675,0.166959
PEP,0.982586,0.98253,1
PYR,0.604888,0.601748,0.627914
R5P,0.782035,0.777887,0.788078
S7P,0.923146,0.915501,0.926507
SUCC,1,0.998141,1
X5P,0.942514,0.929696,0.96147
